Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000039987.7	na	93.63%	93.70%	97.03%	94.02%	na	93.30%	93.62%	na	93.63%	93.64%	90.95%	93.62%	97.52%	na	97.03%	93.29%	na	na	93.02%	94.02%	93.29%	91.43%	96.09%	na	95.49%	93.62%	na	97.52%	100.00%	95.84%	na	na	93.42%	96.09%
ENSG00000041880.15	99.93%	na	95.90%	96.82%	99.98%	97.65%	95.91%	98.76%	na	97.49%	95.78%	99.98%	96.74%	98.20%	99.89%	94.92%	98.76%	98.93%	97.49%	97.60%	94.47%	98.64%	96.74%	97.04%	94.28%	98.76%	98.76%	na	98.93%	na	95.30%	94.79%	95.04%	97.03%	94.99%
ENSG00000043355.12	na	na	na	na	87.18%	na	na	na	na	na	87.18%	na	na	na	na	na	na	na	na	na	na	100.00%	na	na	na	na	na	87.18%	na	na	na	100.00%	na	na	100.00%
ENSG00000044012.4	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000048462.11	na	na	98.50%	97.87%	98.11%	na	98.50%	98.50%	100.00%	98.10%	98.50%	na	96.40%	98.11%	98.11%	100.00%	na	98.10%	98.11%	98.10%	98.50%	na	na	na	na	na	100.00%	98.50%	98.50%	98.50%	100.00%	na	100.00%	na	100.00%
ENSG00000053372.5	96.57%	na	na	na	96.57%	na	96.57%	96.57%	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	96.57%	na	na	95.44%	na	94.30%	na	na	na	na	na	94.12%
ENSG00000053438.11	99.70%	na	na	99.70%	na	na	na	na	na	99.70%	99.70%	na	99.70%	na	na	97.36%	99.70%	na	na	na	na	na	na	na	na	na	99.70%	99.70%	na	na	na	na	na	na	na
ENSG00000053501.14	93.77%	95.05%	92.35%	96.39%	na	na	95.40%	93.95%	95.47%	96.84%	94.89%	96.55%	93.08%	95.33%	93.46%	92.21%	93.31%	94.97%	98.65%	93.72%	96.39%	94.87%	95.38%	92.44%	99.25%	91.46%	94.62%	92.36%	96.26%	90.93%	91.99%	94.61%	92.89%	na	92.77%
ENSG00000054148.18	99.96%	94.92%	99.95%	94.28%	94.28%	99.96%	94.92%	na	99.96%	95.86%	93.47%	94.28%	na	99.95%	na	91.91%	99.95%	99.96%	95.43%	na	96.32%	94.92%	95.71%	na	99.96%	94.28%	98.05%	94.45%	na	na	94.28%	99.96%	94.28%	95.43%	94.92%
ENSG00000057757.10	94.23%	na	83.78%	84.73%	83.61%	na	84.71%	84.72%	94.27%	100.00%	87.65%	89.23%	89.22%	93.43%	89.04%	82.48%	88.98%	89.25%	84.72%	94.23%	94.23%	83.61%	89.27%	87.65%	87.67%	83.76%	89.10%	87.65%	83.61%	83.64%	87.65%	84.85%	83.81%	87.65%	84.71%
ENSG00000060491.17	97.67%	99.90%	95.84%	92.21%	92.15%	na	92.92%	94.50%	na	92.77%	90.71%	92.36%	95.70%	94.03%	100.00%	93.93%	91.66%	89.54%	92.22%	92.27%	90.05%	92.81%	94.63%	91.39%	90.93%	94.05%	91.84%	94.46%	93.31%	91.44%	99.94%	93.36%	90.30%	na	92.49%
ENSG00000061492.12	93.85%	92.14%	96.89%	94.73%	95.39%	na	92.22%	98.41%	96.22%	91.92%	92.61%	98.01%	97.30%	94.73%	93.32%	94.53%	92.52%	92.51%	95.13%	97.65%	93.53%	91.93%	100.00%	na	92.39%	90.86%	96.25%	96.83%	91.98%	97.30%	92.61%	90.58%	na	na	93.27%
ENSG00000061656.11	92.46%	na	na	91.33%	96.00%	na	94.61%	94.00%	na	na	98.02%	97.03%	95.19%	97.53%	94.45%	93.94%	94.36%	100.00%	94.18%	93.06%	93.71%	93.55%	92.86%	na	97.06%	100.00%	93.69%	94.79%	100.00%	na	94.58%	97.53%	94.62%	na	99.12%
ENSG00000063322.15	98.40%	98.40%	98.40%	99.83%	99.54%	98.40%	98.40%	97.86%	99.72%	99.54%	98.40%	98.40%	97.86%	99.90%	99.90%	98.06%	98.13%	98.40%	97.86%	99.81%	98.40%	98.13%	na	97.86%	98.13%	99.90%	99.54%	99.81%	99.90%	99.54%	99.60%	97.86%	99.81%	97.86%	na
ENSG00000065518.8	95.72%	na	95.08%	96.00%	95.70%	na	na	na	na	na	na	na	94.84%	na	94.87%	na	95.60%	na	na	95.08%	na	na	na	na	na	na	na	94.87%	94.87%	na	95.58%	na	95.02%	95.70%	na
ENSG00000066379.15	95.31%	96.87%	96.87%	na	na	na	95.31%	na	95.87%	na	98.07%	95.30%	95.31%	95.31%	na	94.51%	na	96.24%	na	94.51%	94.51%	95.75%	95.88%	95.30%	95.30%	98.15%	95.30%	98.07%	96.87%	97.13%	96.87%	95.00%	96.93%	94.51%	97.09%
ENSG00000068079.8	96.20%	na	94.04%	na	na	na	100.00%	na	na	na	99.55%	94.52%	93.17%	95.17%	94.02%	97.24%	na	na	93.52%	na	96.32%	95.17%	94.48%	96.67%	na	95.17%	93.51%	91.88%	93.54%	93.87%	95.74%	94.48%	na	na	95.08%
ENSG00000069482.7	na	na	na	78.83%	78.81%	na	na	78.81%	na	na	na	78.38%	na	78.83%	na	na	78.38%	na	na	na	78.81%	78.81%	na	na	78.38%	na	78.81%	na	78.79%	78.76%	78.63%	78.79%	na	na	na
ENSG00000069696.7	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	na	na	na	100.00%	100.00%	na	na	100.00%	na	100.00%	100.00%	na	100.00%	na	na	100.00%	100.00%	na	100.00%	na	na	100.00%	100.00%	na	100.00%	na	na	100.00%
ENSG00000070388.12	na	na	na	na	100.00%	na	na	100.00%	99.66%	99.66%	na	99.66%	99.66%	na	na	100.00%	99.66%	100.00%	99.66%	99.66%	100.00%	100.00%	na	na	na	100.00%	na	na	99.66%	99.66%	100.00%	100.00%	na	na	100.00%
ENSG00000070404.10	99.00%	na	na	98.16%	96.25%	na	na	na	97.72%	95.77%	95.51%	na	96.18%	95.62%	na	na	95.52%	na	94.29%	na	na	na	na	na	96.55%	na	na	na	95.51%	na	na	96.53%	na	na	95.51%
ENSG00000071859.15	na	96.23%	96.66%	na	96.33%	na	93.50%	96.34%	na	89.94%	89.88%	na	88.16%	95.90%	na	92.85%	na	na	92.07%	89.86%	89.95%	89.94%	94.69%	89.64%	91.06%	89.80%	na	89.80%	96.17%	na	90.41%	na	na	na	88.22%
ENSG00000073067.14	89.28%	91.33%	97.87%	97.88%	91.24%	na	90.78%	91.49%	na	91.41%	89.46%	na	na	91.32%	90.34%	89.50%	89.28%	97.87%	96.48%	97.87%	97.88%	91.14%	na	na	91.65%	96.66%	92.40%	97.23%	95.55%	94.55%	na	91.44%	na	na	97.87%
ENSG00000073150.14	100.00%	99.98%	100.00%	100.00%	100.00%	na	100.00%	93.89%	95.51%	99.98%	99.98%	100.00%	93.89%	99.98%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	95.11%	93.89%	95.48%	100.00%	99.98%	100.00%	100.00%	99.98%	99.98%	100.00%	100.00%	99.98%	89.67%	100.00%	95.48%
ENSG00000073598.6	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000077009.14	98.48%	91.22%	90.53%	95.89%	97.22%	na	96.93%	91.18%	92.62%	91.72%	91.91%	98.72%	98.48%	99.00%	98.20%	98.49%	95.58%	90.75%	95.58%	90.76%	90.76%	91.91%	93.62%	98.66%	90.76%	91.91%	90.76%	95.89%	98.50%	na	95.38%	94.62%	91.76%	na	91.91%
ENSG00000078401.7	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000078804.13	99.85%	98.61%	98.26%	98.61%	99.85%	na	98.86%	98.61%	na	98.61%	99.89%	99.85%	99.85%	98.26%	98.26%	99.23%	99.10%	98.26%	98.61%	99.85%	98.61%	100.00%	99.86%	99.88%	99.22%	98.61%	98.15%	98.61%	98.26%	99.86%	99.82%	98.48%	100.00%	na	98.79%
ENSG00000080511.5	97.27%	na	96.59%	89.74%	87.18%	na	96.59%	100.00%	100.00%	100.00%	96.59%	96.59%	87.18%	87.18%	96.59%	96.59%	87.18%	87.18%	87.18%	100.00%	na	na	100.00%	97.27%	97.27%	100.00%	96.59%	na	na	na	96.59%	96.59%	na	na	89.74%
ENSG00000081721.12	94.97%	89.99%	84.36%	88.34%	89.67%	99.56%	99.49%	99.25%	88.49%	na	94.69%	94.48%	94.23%	na	94.57%	87.15%	87.38%	92.42%	94.37%	na	89.88%	90.28%	na	87.59%	94.54%	99.49%	na	90.13%	94.25%	na	94.37%	90.77%	95.25%	90.01%	na
ENSG00000083812.13	100.00%	97.93%	97.55%	97.93%	98.23%	na	100.00%	na	na	na	100.00%	na	100.00%	97.93%	100.00%	97.93%	100.00%	97.92%	97.93%	97.93%	100.00%	97.93%	na	na	na	99.98%	97.91%	na	97.93%	97.93%	100.00%	97.93%	99.96%	97.93%	na
ENSG00000083838.17	96.88%	98.82%	na	94.37%	92.36%	na	na	95.35%	na	93.74%	93.21%	94.36%	na	98.13%	96.70%	94.53%	95.25%	93.39%	na	99.21%	98.23%	96.54%	na	95.81%	99.30%	na	94.97%	98.56%	na	92.97%	93.05%	95.94%	96.09%	na	na
ENSG00000083845.9	97.29%	95.27%	98.42%	na	94.50%	na	94.12%	96.64%	na	97.06%	94.97%	95.57%	na	91.24%	92.55%	94.53%	na	90.95%	92.41%	95.55%	94.95%	95.55%	96.11%	94.36%	96.61%	93.75%	93.22%	92.33%	89.77%	na	96.11%	92.06%	94.88%	na	97.51%
ENSG00000084207.18	na	92.30%	93.01%	90.30%	94.99%	na	93.90%	90.47%	91.28%	91.02%	96.14%	90.99%	92.73%	93.90%	94.93%	94.99%	90.08%	93.53%	91.81%	na	83.57%	94.93%	na	na	91.26%	96.53%	98.85%	na	96.62%	na	96.14%	92.85%	na	na	na
ENSG00000086159.14	92.35%	92.26%	na	99.90%	99.55%	93.84%	96.54%	99.91%	90.82%	91.12%	93.62%	94.00%	93.28%	91.73%	94.26%	90.20%	99.58%	94.12%	99.88%	92.88%	93.44%	na	na	91.07%	na	na	na	98.99%	92.35%	95.38%	na	98.63%	93.44%	95.36%	99.37%
ENSG00000086506.3	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000087074.9	95.71%	92.00%	na	na	na	na	na	92.00%	na	97.47%	na	97.47%	93.15%	na	na	na	95.54%	95.71%	na	na	91.95%	95.69%	na	na	94.51%	na	92.00%	92.00%	92.00%	95.45%	na	94.31%	na	na	92.00%
ENSG00000087077.14	98.68%	99.25%	93.63%	na	94.96%	na	96.02%	94.73%	na	na	94.68%	94.70%	99.37%	96.30%	94.57%	96.70%	98.16%	94.17%	95.72%	98.02%	95.72%	99.25%	na	na	na	98.88%	96.11%	96.11%	98.61%	na	95.72%	96.59%	92.45%	na	93.04%
ENSG00000087086.15	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	90.82%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%
ENSG00000087250.9	96.41%	100.00%	100.00%	93.08%	na	na	97.93%	na	na	na	91.24%	93.14%	96.35%	93.06%	93.61%	na	96.72%	na	94.16%	90.58%	na	97.98%	93.19%	na	93.10%	96.17%	89.77%	92.12%	92.27%	90.16%	na	98.92%	na	na	91.26%
ENSG00000087510.7	na	91.52%	na	na	98.74%	na	98.74%	na	98.74%	98.74%	na	98.74%	98.74%	na	na	na	na	na	98.74%	98.74%	na	na	98.74%	98.74%	na	98.74%	na	98.74%	98.74%	na	na	na	na	na	98.74%
ENSG00000088320.4	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000089220.5	100.00%	100.00%	89.94%	89.94%	100.00%	na	89.94%	89.94%	89.94%	89.94%	89.94%	89.94%	100.00%	89.94%	100.00%	89.94%	89.94%	100.00%	89.94%	89.94%	100.00%	89.94%	89.94%	89.94%	100.00%	89.94%	100.00%	100.00%	89.94%	na	89.94%	100.00%	89.94%	89.94%	89.94%
ENSG00000089692.9	87.66%	84.31%	95.92%	95.15%	88.75%	na	92.42%	84.31%	na	91.24%	90.96%	92.44%	na	82.28%	na	na	na	84.31%	88.75%	na	86.40%	91.87%	na	na	92.48%	92.42%	95.15%	82.29%	86.80%	na	86.89%	na	na	na	92.42%
ENSG00000090104.12	na	na	na	na	na	na	na	91.04%	na	na	na	96.44%	na	na	92.81%	na	92.28%	91.04%	na	96.44%	na	91.10%	na	na	na	na	na	89.96%	92.37%	na	96.44%	na	na	na	96.44%
ENSG00000090382.7	94.48%	100.00%	100.00%	94.48%	94.48%	na	100.00%	94.48%	94.48%	100.00%	na	na	100.00%	94.48%	100.00%	na	94.48%	94.48%	na	94.48%	na	94.48%	100.00%	94.92%	94.48%	94.48%	94.48%	100.00%	na	94.90%	na	94.48%	na	na	100.00%
ENSG00000090932.11	92.18%	96.15%	95.29%	93.82%	89.38%	na	85.08%	95.24%	na	87.47%	na	95.26%	96.45%	95.25%	na	na	91.92%	91.11%	93.81%	92.28%	92.89%	na	85.26%	95.28%	92.89%	88.13%	96.01%	92.89%	91.93%	89.49%	90.84%	92.89%	89.36%	na	89.31%
ENSG00000090971.5	86.22%	na	95.08%	na	na	na	na	na	na	100.00%	na	100.00%	na	85.48%	na	na	97.78%	na	na	96.84%	na	na	na	na	na	na	98.12%	94.08%	na	na	100.00%	na	na	na	na
ENSG00000091704.10	na	95.25%	90.11%	94.28%	na	na	89.83%	na	94.41%	97.27%	na	97.46%	92.11%	na	95.32%	na	94.65%	na	na	98.51%	92.41%	87.01%	na	na	88.54%	100.00%	96.66%	94.88%	94.08%	94.66%	na	na	na	na	96.55%
ENSG00000092010.15	95.13%	na	96.17%	98.04%	93.32%	97.55%	99.72%	na	92.03%	na	93.04%	96.00%	96.80%	98.74%	94.70%	96.02%	na	97.11%	99.48%	96.21%	97.64%	93.51%	na	99.72%	97.88%	96.49%	96.49%	96.47%	96.85%	98.59%	98.14%	95.59%	na	na	na
ENSG00000092850.12	92.63%	98.55%	na	99.28%	96.06%	na	89.35%	91.48%	92.90%	99.40%	99.40%	92.90%	99.28%	93.91%	92.90%	98.79%	93.02%	98.85%	92.90%	92.20%	98.79%	92.90%	98.19%	92.90%	98.79%	99.02%	99.40%	93.45%	99.40%	93.46%	98.79%	92.90%	na	na	92.90%
ENSG00000095596.12	100.00%	93.15%	na	96.99%	93.16%	na	97.72%	98.01%	na	100.00%	97.72%	92.30%	100.00%	97.72%	na	92.30%	92.30%	94.88%	98.01%	na	96.19%	na	na	100.00%	na	100.00%	97.72%	93.41%	92.30%	na	95.11%	na	na	na	na
ENSG00000095739.11	na	99.81%	99.81%	na	na	na	99.81%	99.81%	na	na	na	99.81%	na	na	99.81%	99.81%	99.81%	na	99.81%	99.81%	na	99.81%	na	99.81%	99.81%	na	na	99.81%	na	na	99.81%	na	99.81%	na	na
ENSG00000096384.20	98.62%	93.73%	100.00%	98.62%	98.62%	98.62%	98.62%	98.85%	98.28%	98.62%	98.62%	98.62%	98.85%	98.85%	100.00%	na	98.62%	98.62%	100.00%	98.85%	98.85%	100.00%	100.00%	90.57%	100.00%	100.00%	na	100.00%	98.85%	na	100.00%	98.62%	98.85%	98.62%	91.30%
ENSG00000099377.14	98.28%	96.53%	93.93%	96.39%	97.21%	na	98.14%	96.52%	98.55%	98.01%	95.84%	96.75%	95.39%	99.57%	97.87%	98.35%	98.05%	97.65%	95.47%	96.50%	95.03%	96.56%	95.47%	98.37%	97.43%	97.66%	95.88%	97.45%	94.96%	97.26%	97.47%	99.87%	na	na	98.06%
ENSG00000099624.8	na	na	97.16%	na	na	na	na	95.20%	na	na	na	na	na	94.68%	na	na	na	na	na	na	100.00%	98.52%	95.58%	na	na	na	95.20%	na	97.70%	95.22%	na	100.00%	95.20%	na	na
ENSG00000099849.15	95.56%	na	97.59%	99.10%	99.67%	na	92.76%	na	na	95.14%	97.45%	95.94%	97.91%	97.86%	95.58%	96.81%	97.83%	96.57%	96.30%	97.29%	95.09%	na	94.63%	98.42%	95.82%	95.03%	98.80%	97.07%	95.19%	99.14%	na	99.22%	95.72%	94.90%	97.01%
ENSG00000099860.9	97.61%	na	96.66%	na	97.68%	na	na	na	97.07%	na	na	na	na	100.00%	na	na	na	na	na	97.40%	96.66%	na	93.90%	na	95.55%	na	95.36%	na	na	97.13%	94.97%	96.66%	na	97.07%	na
ENSG00000100053.10	88.33%	91.73%	88.21%	87.73%	97.91%	87.73%	100.00%	100.00%	89.63%	89.67%	91.66%	99.40%	99.55%	99.43%	89.63%	95.17%	84.44%	87.73%	94.31%	100.00%	84.44%	99.40%	84.44%	87.85%	89.63%	99.40%	89.63%	100.00%	99.43%	99.64%	88.33%	91.62%	100.00%	100.00%	91.66%
ENSG00000100097.12	na	100.00%	92.57%	90.42%	92.49%	na	na	99.54%	na	na	na	97.12%	na	na	91.63%	100.00%	97.12%	99.54%	99.21%	99.56%	90.42%	90.46%	96.01%	92.57%	99.79%	100.00%	na	na	na	97.56%	97.34%	90.53%	na	na	na
ENSG00000100116.17	94.37%	93.37%	92.32%	92.11%	95.76%	na	94.42%	93.66%	91.92%	95.03%	92.77%	97.28%	95.40%	92.82%	92.41%	95.55%	95.39%	na	93.22%	95.52%	91.58%	92.53%	98.82%	93.34%	93.36%	96.74%	94.84%	93.23%	92.85%	na	95.08%	93.05%	93.36%	na	89.88%
ENSG00000100216.6	93.83%	93.83%	93.83%	93.83%	100.00%	na	93.83%	93.83%	100.00%	100.00%	100.00%	100.00%	93.83%	93.83%	93.83%	100.00%	100.00%	100.00%	100.00%	100.00%	93.83%	100.00%	93.83%	100.00%	93.83%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	93.83%	93.83%	100.00%	93.83%
ENSG00000100253.13	93.23%	96.05%	92.56%	96.49%	92.18%	na	96.03%	96.99%	95.53%	96.47%	96.66%	91.64%	96.42%	91.11%	95.74%	95.96%	96.95%	97.14%	97.95%	92.61%	92.24%	96.01%	92.46%	96.08%	89.08%	92.03%	96.46%	91.84%	96.82%	93.25%	96.01%	91.55%	90.02%	97.31%	95.93%
ENSG00000100298.16	94.86%	na	98.73%	95.97%	92.56%	na	94.70%	na	na	98.34%	99.35%	93.35%	100.00%	98.52%	96.46%	na	96.53%	na	99.73%	93.17%	96.69%	96.27%	93.16%	na	92.82%	93.36%	na	92.56%	92.56%	93.17%	99.76%	93.24%	94.86%	na	99.09%
ENSG00000100941.9	89.44%	87.33%	82.05%	84.45%	84.64%	93.40%	80.94%	87.39%	95.50%	87.68%	87.68%	87.79%	82.05%	89.67%	90.36%	82.34%	73.85%	89.55%	74.10%	82.34%	90.31%	91.12%	73.44%	89.95%	na	na	90.07%	89.19%	na	82.54%	92.90%	87.23%	85.79%	91.24%	91.20%
ENSG00000100985.7	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	77.46%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%
ENSG00000101162.4	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	100.00%
ENSG00000101189.7	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000101197.13	99.58%	94.79%	99.16%	92.87%	99.16%	99.66%	92.03%	88.88%	92.28%	99.58%	88.88%	99.16%	99.58%	99.16%	95.08%	99.16%	86.58%	92.03%	85.18%	92.03%	87.02%	85.99%	85.12%	99.16%	88.88%	85.16%	88.88%	88.88%	92.87%	99.16%	85.18%	95.57%	95.57%	95.57%	94.74%
ENSG00000101335.10	91.05%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	95.03%	100.00%	100.00%	100.00%	100.00%	100.00%	95.77%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	99.49%	95.67%	100.00%	100.00%	100.00%	100.00%	100.00%	99.49%	93.72%	100.00%	100.00%	100.00%	100.00%
