Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000053372.5	99.42%	na	na	na	99.44%	na	99.44%	99.43%	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	99.43%	na	na	98.88%	na	98.60%	na	na	na	na	na	98.61%
ENSG00000053438.11	85.29%	na	na	85.29%	na	na	na	na	na	85.29%	85.31%	na	85.31%	na	na	86.12%	85.29%	na	na	na	na	na	na	na	na	na	85.29%	85.29%	na	na	na	na	na	na	na
ENSG00000053501.14	87.44%	87.44%	87.56%	89.09%	na	na	88.58%	87.93%	88.63%	86.00%	88.59%	84.84%	86.44%	89.18%	86.83%	87.02%	86.52%	84.38%	92.58%	87.05%	89.09%	88.59%	89.18%	85.66%	92.58%	84.57%	86.70%	85.81%	85.55%	77.52%	82.72%	87.85%	86.27%	na	86.89%
ENSG00000054148.18	95.97%	90.82%	94.85%	89.78%	89.82%	96.00%	90.40%	na	95.68%	91.36%	88.37%	89.30%	na	94.85%	na	85.96%	94.85%	95.48%	91.42%	na	92.28%	90.95%	89.76%	na	95.70%	89.82%	93.07%	90.78%	na	na	89.78%	96.00%	89.82%	91.78%	90.95%
ENSG00000057757.10	95.72%	na	87.39%	91.32%	87.39%	na	91.32%	91.32%	95.67%	100.00%	89.14%	92.79%	92.81%	97.68%	93.87%	86.23%	93.87%	92.87%	91.30%	95.72%	95.72%	87.39%	92.87%	89.14%	89.14%	87.39%	92.87%	89.14%	87.39%	87.39%	89.13%	91.32%	87.39%	89.14%	91.32%
ENSG00000060491.17	83.25%	94.31%	88.22%	89.53%	74.99%	na	89.53%	100.00%	na	75.93%	96.49%	89.53%	87.87%	77.15%	100.00%	84.95%	82.06%	71.62%	84.43%	89.53%	81.04%	76.00%	85.88%	82.80%	96.49%	77.16%	84.12%	100.00%	76.96%	82.88%	94.31%	77.07%	81.30%	na	85.12%
ENSG00000061492.12	93.48%	94.18%	97.01%	94.69%	95.01%	na	90.05%	97.98%	97.01%	91.89%	92.37%	98.25%	94.34%	94.70%	93.39%	94.30%	93.21%	92.58%	94.12%	94.33%	92.92%	91.90%	100.00%	na	92.38%	88.75%	96.96%	96.98%	96.21%	96.70%	92.37%	93.50%	na	na	93.93%
ENSG00000061656.11	83.96%	na	na	88.51%	97.76%	na	94.36%	91.52%	na	na	96.58%	91.66%	92.56%	97.53%	95.54%	91.40%	91.32%	100.00%	91.32%	88.90%	90.94%	91.33%	92.92%	na	96.65%	100.00%	93.77%	93.54%	100.00%	na	94.65%	97.53%	95.28%	na	95.70%
ENSG00000063322.15	88.00%	88.00%	88.00%	88.37%	86.86%	88.00%	88.00%	85.31%	90.56%	86.86%	88.00%	88.00%	85.31%	89.50%	89.50%	87.66%	87.00%	88.00%	85.31%	87.16%	88.00%	95.51%	na	85.31%	86.84%	89.50%	86.86%	87.16%	89.50%	86.86%	86.14%	85.31%	87.16%	85.31%	na
ENSG00000065518.8	95.72%	na	95.08%	96.00%	95.70%	na	na	na	na	na	na	na	94.84%	na	94.87%	na	95.60%	na	na	95.08%	na	na	na	na	na	na	na	94.87%	94.87%	na	95.58%	na	95.02%	95.70%	na
ENSG00000066379.15	85.29%	86.85%	86.85%	na	na	na	85.29%	na	85.32%	na	88.05%	85.28%	85.29%	85.29%	na	84.05%	na	79.67%	na	84.05%	84.05%	78.80%	85.43%	85.29%	85.29%	88.13%	85.29%	88.06%	86.85%	80.18%	86.85%	78.41%	86.47%	84.05%	86.30%
ENSG00000068079.8	95.69%	na	93.60%	na	na	na	99.49%	na	na	na	99.55%	93.18%	92.98%	94.72%	93.85%	95.17%	na	na	92.47%	na	89.94%	94.72%	93.97%	96.23%	na	94.72%	92.44%	91.63%	93.35%	92.25%	95.29%	93.97%	na	na	89.00%
ENSG00000069482.7	na	na	na	100.00%	100.00%	na	na	100.00%	na	na	na	98.26%	na	100.00%	na	na	98.26%	na	na	na	100.00%	100.00%	na	na	98.26%	na	100.00%	na	99.93%	99.80%	99.27%	99.93%	na	na	na
ENSG00000069696.7	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	na	na	na	100.00%	100.00%	na	na	100.00%	na	100.00%	100.00%	na	100.00%	na	na	100.00%	100.00%	na	100.00%	na	na	100.00%	100.00%	na	100.00%	na	na	100.00%
ENSG00000070388.12	na	na	na	na	99.66%	na	na	99.66%	99.66%	99.66%	na	99.66%	99.66%	na	na	99.66%	99.66%	99.66%	99.66%	99.66%	99.66%	99.66%	na	na	na	99.66%	na	na	99.66%	99.66%	99.66%	99.66%	na	na	99.66%
ENSG00000070404.10	98.58%	na	na	97.81%	95.93%	na	na	na	92.91%	87.43%	96.47%	na	97.62%	95.18%	na	na	95.11%	na	89.51%	na	na	na	na	na	97.65%	na	na	na	95.18%	na	na	97.65%	na	na	95.18%
ENSG00000071859.15	na	98.37%	98.34%	na	98.37%	na	93.65%	98.36%	na	92.00%	91.75%	na	91.44%	96.65%	na	95.29%	na	na	91.02%	91.71%	91.99%	92.00%	93.54%	91.61%	92.89%	90.61%	na	90.59%	98.37%	na	91.48%	na	na	na	90.25%
ENSG00000073067.14	80.78%	83.81%	90.11%	90.13%	83.21%	na	82.95%	83.81%	na	83.81%	78.53%	na	na	83.25%	81.50%	80.17%	80.78%	90.09%	88.72%	90.11%	90.13%	83.81%	na	na	84.63%	83.66%	85.83%	88.72%	85.70%	81.97%	na	79.46%	na	na	85.71%
ENSG00000073150.14	94.00%	94.02%	95.00%	94.95%	95.00%	na	95.00%	94.02%	94.96%	95.00%	95.00%	94.02%	94.02%	95.20%	95.00%	95.20%	88.07%	94.02%	95.00%	95.00%	95.00%	94.02%	95.00%	94.97%	95.00%	95.00%	94.02%	95.00%	95.00%	94.97%	95.00%	94.02%	83.69%	94.98%	95.00%
ENSG00000073598.6	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000077009.14	86.57%	74.21%	76.51%	87.79%	82.89%	na	84.03%	77.14%	78.96%	81.58%	81.30%	83.79%	87.77%	87.43%	86.96%	88.38%	86.15%	76.70%	86.15%	76.72%	76.72%	79.19%	82.94%	80.18%	76.13%	81.78%	76.72%	85.16%	84.61%	na	84.21%	78.44%	74.75%	na	83.43%
ENSG00000078401.7	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000078804.13	99.30%	98.04%	97.79%	98.17%	99.41%	na	98.33%	98.17%	na	98.14%	88.71%	99.40%	99.41%	97.75%	97.72%	98.41%	98.17%	97.72%	98.16%	99.39%	98.08%	99.88%	99.35%	88.71%	98.40%	98.07%	98.02%	98.17%	97.72%	99.40%	99.32%	87.32%	99.93%	na	87.61%
ENSG00000080511.5	97.16%	na	99.98%	86.92%	87.18%	na	99.98%	100.00%	100.00%	94.84%	99.98%	99.98%	87.18%	87.18%	99.98%	99.98%	87.18%	87.18%	87.18%	100.00%	na	na	100.00%	97.55%	97.16%	97.18%	99.98%	na	na	na	99.98%	99.98%	na	na	86.92%
ENSG00000081721.12	95.83%	92.43%	83.29%	91.97%	90.60%	93.14%	92.00%	99.60%	91.44%	na	95.06%	96.35%	94.99%	na	95.26%	87.49%	89.87%	92.21%	95.06%	na	92.48%	92.45%	na	88.28%	94.92%	91.75%	na	92.43%	95.26%	na	95.06%	91.98%	89.95%	92.48%	na
ENSG00000083812.13	75.72%	75.37%	66.40%	75.37%	78.83%	na	75.63%	na	na	na	75.61%	na	75.72%	75.35%	75.71%	75.36%	75.71%	75.18%	75.37%	75.38%	75.63%	75.37%	na	na	na	75.72%	75.38%	na	75.38%	75.38%	69.75%	75.38%	75.72%	75.38%	na
ENSG00000083838.17	97.44%	91.23%	na	84.26%	93.09%	na	na	91.46%	na	88.76%	89.47%	94.99%	na	89.79%	87.69%	90.84%	93.79%	93.90%	na	99.97%	89.01%	97.26%	na	92.39%	99.95%	na	90.95%	95.34%	na	93.65%	93.61%	87.79%	90.57%	na	na
ENSG00000083845.9	96.57%	95.32%	97.92%	na	95.55%	na	96.40%	99.08%	na	99.30%	98.41%	95.59%	na	95.24%	93.72%	94.36%	na	93.50%	92.71%	95.46%	93.61%	97.58%	100.00%	94.41%	99.06%	93.67%	91.96%	95.70%	91.62%	na	100.00%	94.18%	94.26%	na	97.44%
ENSG00000084207.18	na	95.19%	90.60%	93.19%	99.03%	na	98.00%	94.15%	97.76%	85.46%	99.03%	90.89%	94.40%	98.00%	95.93%	99.03%	86.10%	93.91%	93.48%	na	83.73%	98.20%	na	na	94.94%	95.17%	95.29%	na	95.71%	na	97.88%	92.53%	na	na	na
ENSG00000086159.14	86.46%	89.70%	na	82.71%	80.24%	76.48%	81.42%	84.79%	83.93%	71.39%	76.57%	82.93%	73.83%	82.90%	75.17%	84.31%	93.22%	85.94%	93.99%	82.31%	88.27%	na	na	71.40%	na	na	na	79.47%	86.46%	89.42%	na	76.68%	83.40%	86.68%	79.71%
ENSG00000086506.3	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000087074.9	92.99%	92.46%	na	na	na	na	na	92.20%	na	97.32%	na	97.32%	96.40%	na	na	na	92.82%	92.99%	na	na	92.20%	92.97%	na	na	93.12%	na	92.46%	92.20%	92.46%	92.73%	na	91.59%	na	na	92.20%
ENSG00000087077.14	92.92%	92.49%	86.77%	na	89.33%	na	89.44%	88.77%	na	na	86.72%	89.29%	92.62%	86.47%	88.14%	89.14%	90.55%	88.22%	89.89%	90.41%	89.89%	90.11%	na	na	na	93.83%	90.25%	88.31%	91.61%	na	89.89%	92.50%	82.67%	na	84.56%
ENSG00000087086.15	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	82.72%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%
ENSG00000087250.9	94.92%	99.97%	100.00%	94.70%	na	na	96.84%	na	na	na	91.45%	94.09%	94.92%	93.69%	94.21%	na	99.18%	na	96.03%	90.84%	na	97.35%	95.37%	na	94.21%	99.59%	88.16%	93.38%	92.25%	89.11%	na	99.91%	na	na	91.53%
ENSG00000087510.7	na	87.71%	na	na	97.49%	na	97.49%	na	97.51%	97.51%	na	97.51%	97.51%	na	na	na	na	na	97.51%	97.51%	na	na	97.48%	97.47%	na	97.47%	na	97.50%	97.51%	na	na	na	na	na	97.51%
ENSG00000088320.4	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000089220.5	100.00%	100.00%	89.94%	89.94%	100.00%	na	89.94%	89.94%	89.94%	89.94%	89.94%	89.94%	100.00%	89.94%	100.00%	89.94%	89.94%	100.00%	89.94%	89.94%	100.00%	89.94%	89.94%	89.94%	100.00%	89.94%	100.00%	100.00%	89.94%	na	89.94%	100.00%	89.94%	89.94%	89.94%
ENSG00000089692.9	85.62%	77.65%	90.37%	88.50%	82.10%	na	88.57%	77.65%	na	85.99%	86.35%	88.58%	na	77.06%	na	na	na	77.65%	82.10%	na	79.74%	86.13%	na	na	88.58%	88.58%	88.50%	77.06%	81.23%	na	81.30%	na	na	na	88.58%
ENSG00000090104.12	na	na	na	na	na	na	na	93.66%	na	na	na	88.42%	na	na	91.64%	na	92.63%	93.66%	na	88.42%	na	93.80%	na	na	na	na	na	88.01%	87.97%	na	88.42%	na	na	na	88.42%
ENSG00000090382.7	82.03%	87.55%	87.55%	82.03%	82.03%	na	87.55%	82.03%	82.03%	87.55%	na	na	87.55%	82.03%	87.55%	na	82.03%	82.03%	na	82.03%	na	82.03%	87.55%	82.47%	82.03%	82.03%	82.03%	87.55%	na	82.45%	na	82.03%	na	na	87.55%
ENSG00000090932.11	84.72%	89.44%	92.15%	93.82%	86.13%	na	80.94%	92.06%	na	84.29%	na	92.06%	91.20%	92.06%	na	na	83.26%	83.35%	87.31%	84.72%	92.89%	na	80.71%	92.06%	92.89%	81.36%	89.44%	92.89%	83.26%	86.29%	85.21%	92.89%	86.13%	na	86.13%
ENSG00000090971.5	96.83%	na	98.19%	na	na	na	na	na	na	100.00%	na	100.00%	na	97.25%	na	na	97.78%	na	na	99.95%	na	na	na	na	na	na	98.12%	99.54%	na	na	100.00%	na	na	na	na
ENSG00000091704.10	na	93.65%	83.56%	94.74%	na	na	91.09%	na	91.53%	89.25%	na	94.22%	87.06%	na	93.92%	na	89.80%	na	na	94.67%	88.38%	84.57%	na	na	88.51%	100.00%	97.31%	95.47%	91.79%	94.15%	na	na	na	na	96.50%
ENSG00000092010.15	90.06%	na	91.81%	91.96%	90.03%	91.59%	95.14%	na	87.84%	na	90.22%	92.04%	90.28%	95.02%	90.21%	91.43%	na	92.30%	94.99%	91.28%	93.47%	91.52%	na	94.72%	91.95%	91.80%	92.05%	91.40%	93.00%	94.26%	94.44%	90.66%	na	na	na
ENSG00000092850.12	90.11%	96.01%	na	98.01%	84.00%	na	87.50%	90.00%	91.61%	98.34%	98.34%	91.67%	98.02%	92.85%	91.67%	96.53%	91.75%	96.71%	91.67%	91.05%	96.72%	91.61%	95.08%	91.65%	96.72%	97.16%	98.36%	91.43%	98.36%	91.37%	96.68%	91.67%	na	na	91.65%
ENSG00000095596.12	95.11%	88.26%	na	92.78%	88.27%	na	94.12%	91.21%	na	95.11%	94.12%	87.41%	95.11%	94.12%	na	87.41%	87.41%	90.92%	94.33%	na	95.22%	na	na	95.11%	na	95.11%	94.12%	88.52%	87.41%	na	95.11%	na	na	na	na
ENSG00000095739.11	na	94.97%	94.97%	na	na	na	94.97%	94.97%	na	na	na	94.97%	na	na	94.97%	94.97%	94.97%	na	94.97%	94.97%	na	94.97%	na	94.97%	94.97%	na	na	94.97%	na	na	94.97%	na	94.97%	na	na
ENSG00000096384.20	98.30%	93.73%	99.89%	99.16%	98.96%	99.16%	99.16%	85.64%	98.70%	99.16%	98.96%	98.96%	85.46%	85.64%	86.42%	na	98.30%	98.30%	99.89%	85.30%	85.46%	86.07%	99.89%	92.41%	99.89%	86.07%	na	86.07%	85.64%	na	99.89%	99.16%	85.64%	98.30%	91.19%
ENSG00000099377.14	99.49%	95.81%	94.79%	97.58%	91.13%	na	98.52%	97.56%	98.75%	98.46%	89.57%	98.12%	94.85%	99.15%	99.31%	98.84%	98.50%	89.48%	95.06%	96.30%	95.23%	97.30%	88.27%	98.61%	98.48%	97.64%	95.58%	99.18%	97.29%	97.23%	98.07%	99.99%	na	na	98.79%
ENSG00000099624.8	na	na	98.34%	na	na	na	na	95.20%	na	na	na	na	na	94.91%	na	na	na	na	na	na	100.00%	95.70%	93.27%	na	na	na	95.20%	na	95.36%	95.22%	na	100.00%	95.20%	na	na
ENSG00000099849.15	94.77%	na	94.11%	95.96%	99.01%	na	89.96%	na	na	94.38%	96.33%	95.80%	96.28%	98.09%	96.04%	96.17%	95.68%	96.10%	96.36%	97.98%	91.86%	na	95.26%	96.51%	95.80%	93.53%	98.49%	97.77%	95.07%	98.66%	na	96.37%	96.11%	94.67%	97.87%
ENSG00000099860.9	92.26%	na	90.21%	na	91.84%	na	na	na	91.05%	na	na	na	na	93.55%	na	na	na	na	na	92.01%	90.21%	na	86.63%	na	89.10%	na	89.52%	na	na	86.06%	88.52%	90.21%	na	89.34%	na
ENSG00000100053.10	85.64%	92.25%	88.33%	88.33%	97.46%	88.33%	100.00%	97.31%	89.63%	89.67%	92.22%	100.00%	97.82%	100.00%	89.63%	95.73%	84.44%	88.33%	94.31%	97.31%	84.44%	100.00%	84.44%	88.33%	89.63%	100.00%	89.63%	97.31%	100.00%	97.75%	85.61%	92.22%	97.31%	100.00%	92.22%
ENSG00000100097.12	na	100.00%	91.37%	90.63%	95.78%	na	na	100.00%	na	na	na	94.19%	na	na	89.64%	100.00%	88.82%	99.97%	100.00%	100.00%	90.63%	90.63%	96.01%	91.37%	100.00%	100.00%	na	na	na	97.93%	97.93%	90.63%	na	na	na
ENSG00000100116.17	88.30%	86.63%	85.35%	86.52%	89.48%	na	88.30%	86.18%	84.05%	87.81%	86.70%	86.18%	88.99%	85.74%	86.00%	88.50%	89.11%	na	88.40%	89.43%	86.31%	86.48%	91.75%	87.38%	87.31%	91.21%	89.53%	87.95%	85.61%	na	89.00%	87.06%	87.31%	na	83.28%
ENSG00000100216.6	93.83%	93.83%	93.83%	93.83%	100.00%	na	93.83%	93.83%	100.00%	100.00%	100.00%	100.00%	93.83%	93.83%	93.83%	100.00%	100.00%	100.00%	100.00%	100.00%	93.83%	100.00%	93.83%	100.00%	93.83%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	93.83%	93.83%	100.00%	93.83%
ENSG00000100253.13	82.61%	77.51%	84.57%	85.38%	81.86%	na	82.50%	84.93%	75.28%	74.80%	89.85%	73.02%	83.08%	79.42%	79.99%	82.46%	77.10%	84.93%	86.54%	80.59%	84.57%	80.34%	79.30%	85.22%	77.69%	84.57%	81.86%	78.73%	89.91%	78.37%	80.23%	74.62%	80.80%	82.78%	83.97%
ENSG00000100298.16	95.76%	na	98.35%	88.45%	89.65%	na	96.70%	na	na	96.83%	97.32%	96.35%	100.00%	93.62%	94.84%	na	94.03%	na	96.94%	95.83%	94.20%	90.19%	90.09%	na	90.94%	90.30%	na	89.65%	89.65%	95.83%	97.32%	90.23%	95.76%	na	97.32%
ENSG00000100941.9	77.27%	77.00%	68.76%	78.41%	80.20%	82.86%	71.97%	74.46%	79.05%	76.04%	76.03%	70.11%	68.76%	77.75%	65.89%	68.70%	58.93%	72.92%	60.17%	68.71%	79.59%	80.29%	59.64%	74.87%	na	na	79.64%	77.16%	na	81.55%	80.81%	76.84%	72.51%	70.72%	81.46%
ENSG00000100985.7	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	74.46%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%
ENSG00000101162.4	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	100.00%
ENSG00000101189.7	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000101197.13	100.00%	90.43%	100.00%	84.06%	100.00%	100.00%	84.06%	89.30%	83.98%	100.00%	89.30%	100.00%	100.00%	100.00%	90.43%	100.00%	81.88%	84.06%	76.93%	84.06%	81.88%	76.93%	76.75%	100.00%	89.30%	76.88%	89.30%	89.30%	84.06%	100.00%	76.93%	90.43%	90.42%	90.43%	90.43%
ENSG00000101335.10	75.63%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	95.03%	100.00%	100.00%	100.00%	100.00%	100.00%	95.77%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	96.41%	95.67%	100.00%	100.00%	100.00%	100.00%	100.00%	96.69%	93.72%	100.00%	100.00%	100.00%	100.00%
