Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_900
ENSG00000041880.15	99.98%	na	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	na	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%
ENSG00000043355.12	100.00%	na	100.00%	na	100.00%	na	100.00%	100.00%	na	na	100.00%	na	na	na	na	na	na	na	na	100.00%	na	100.00%	100.00%	na	na	na	na	100.00%	na	100.00%	na	100.00%	100.00%	100.00%
ENSG00000044012.4	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000048462.11	na	na	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	na	na	na	na	na	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%
ENSG00000048545.18	84.48%	81.97%	81.97%	81.97%	81.97%	na	84.45%	81.97%	84.45%	81.97%	84.45%	84.45%	81.97%	81.97%	81.97%	81.97%	81.97%	81.97%	81.97%	84.45%	81.97%	81.97%	81.97%	81.97%	81.97%	84.45%	84.45%	84.45%	84.45%	81.97%	81.97%	81.97%	84.45%	81.97%
ENSG00000053372.5	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000053438.11	99.82%	na	99.82%	99.82%	99.82%	na	na	99.82%	na	99.82%	99.82%	na	99.82%	99.82%	99.82%	99.82%	na	na	99.82%	na	na	na	99.82%	na	na	na	99.82%	99.82%	na	na	na	99.82%	na	na
ENSG00000053501.14	99.17%	99.17%	99.17%	99.17%	99.17%	na	99.17%	99.17%	99.17%	99.01%	99.17%	99.17%	99.17%	99.17%	99.17%	99.17%	99.17%	99.17%	99.17%	99.17%	99.17%	99.17%	98.22%	99.17%	99.17%	99.17%	99.17%	99.17%	99.17%	99.17%	99.17%	99.17%	99.17%	99.17%
ENSG00000054148.18	99.94%	99.94%	99.94%	99.94%	99.94%	99.94%	99.94%	na	99.94%	99.94%	99.94%	99.94%	na	99.94%	na	99.94%	99.94%	99.94%	99.94%	na	99.94%	99.94%	99.94%	na	99.94%	99.94%	99.94%	99.94%	na	na	99.94%	99.94%	99.94%	99.94%
ENSG00000057757.10	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000060491.17	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000061492.12	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%
ENSG00000061656.11	100.00%	99.82%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000063322.15	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%
ENSG00000065518.8	100.00%	na	100.00%	100.00%	100.00%	na	na	na	na	na	na	na	100.00%	na	100.00%	na	100.00%	na	na	100.00%	na	na	na	na	na	na	na	100.00%	100.00%	na	100.00%	na	100.00%	na
ENSG00000066379.15	99.36%	99.36%	99.36%	na	na	na	99.36%	na	99.36%	na	99.36%	99.36%	99.36%	99.36%	na	99.36%	na	99.36%	na	99.36%	99.36%	99.36%	99.36%	99.36%	99.36%	99.36%	99.36%	99.36%	99.36%	99.36%	99.36%	99.36%	99.36%	99.36%
ENSG00000068079.8	100.00%	100.00%	100.00%	na	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000069482.7	na	na	na	100.00%	100.00%	na	na	100.00%	na	na	na	100.00%	na	100.00%	na	na	na	na	na	na	100.00%	100.00%	na	na	100.00%	na	100.00%	na	100.00%	100.00%	100.00%	100.00%	na	na
ENSG00000069696.7	100.00%	99.31%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	99.67%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	99.67%	100.00%	99.29%	100.00%	99.67%
ENSG00000070388.12	na	na	na	na	100.00%	na	na	100.00%	100.00%	100.00%	na	100.00%	100.00%	na	na	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	na	100.00%	na	na	100.00%	100.00%	100.00%	100.00%	na	100.00%
ENSG00000070404.10	100.00%	99.96%	99.96%	100.00%	99.96%	na	100.00%	na	100.00%	100.00%	100.00%	na	99.96%	100.00%	na	100.00%	na	na	100.00%	na	na	na	na	na	99.96%	100.00%	na	100.00%	99.96%	na	na	99.96%	na	100.00%
ENSG00000071859.15	na	99.85%	99.85%	na	96.31%	na	99.85%	99.85%	99.85%	99.85%	99.85%	na	99.85%	99.85%	na	99.85%	na	na	99.85%	99.85%	99.85%	99.85%	99.85%	99.85%	99.85%	99.85%	na	99.85%	99.85%	na	97.93%	na	na	99.85%
ENSG00000073067.14	98.48%	98.48%	98.48%	98.48%	98.48%	na	98.48%	98.48%	na	98.48%	98.48%	na	na	98.48%	98.48%	98.48%	na	98.48%	98.48%	98.48%	98.48%	98.48%	98.48%	na	98.48%	98.48%	98.48%	98.48%	98.48%	98.48%	na	98.48%	na	98.48%
ENSG00000073150.14	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000073598.6	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	99.42%	100.00%	100.00%	100.00%
ENSG00000077009.14	98.21%	98.21%	98.21%	98.21%	98.21%	na	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%	98.21%
ENSG00000078401.7	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000078804.13	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	99.77%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	99.77%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000080511.5	100.00%	na	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	na	100.00%	100.00%	na	100.00%
ENSG00000081721.12	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	na	99.55%	99.55%	99.55%	na	99.55%	99.55%	99.55%	99.55%	99.55%	na	99.55%	99.55%	na	99.55%	99.55%	99.55%	na	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	na
ENSG00000083812.13	66.15%	66.15%	66.15%	66.15%	66.15%	na	66.15%	na	66.15%	na	66.15%	na	66.15%	66.15%	66.15%	66.15%	66.15%	66.15%	66.15%	66.15%	66.15%	66.15%	na	na	na	66.15%	66.15%	na	66.15%	66.15%	66.15%	66.15%	66.15%	na
ENSG00000083838.17	82.99%	82.99%	82.99%	82.99%	82.99%	na	na	82.99%	82.99%	82.99%	82.99%	82.99%	82.99%	82.99%	82.99%	82.99%	82.99%	82.99%	na	82.99%	82.99%	82.99%	82.99%	82.99%	82.99%	na	84.69%	82.99%	na	82.99%	82.99%	82.99%	82.99%	na
ENSG00000083845.9	99.94%	99.94%	99.94%	na	99.94%	na	99.94%	99.94%	99.94%	99.94%	99.94%	99.94%	na	99.94%	99.94%	99.94%	na	99.94%	99.94%	99.94%	99.94%	99.94%	99.94%	99.94%	99.94%	99.94%	99.94%	99.94%	99.94%	99.94%	99.94%	99.94%	99.94%	99.94%
ENSG00000084207.18	na	98.71%	98.71%	98.71%	98.71%	na	98.71%	98.71%	98.71%	98.71%	98.71%	98.71%	98.71%	98.71%	98.71%	98.71%	na	98.71%	98.71%	na	98.71%	98.71%	98.71%	na	98.71%	98.71%	98.71%	na	98.71%	98.71%	98.71%	98.71%	na	na
ENSG00000086159.14	99.82%	99.82%	na	99.82%	99.82%	99.82%	99.82%	99.82%	99.82%	99.82%	99.82%	99.82%	99.82%	99.82%	99.82%	99.82%	99.82%	99.82%	99.82%	99.82%	99.82%	na	na	99.82%	na	na	na	99.82%	99.82%	99.82%	na	99.82%	99.82%	99.82%
ENSG00000086506.3	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000087074.9	100.00%	100.00%	na	na	na	na	na	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	na	na	100.00%	100.00%	na	na	100.00%	100.00%	100.00%	na	100.00%	na	100.00%	100.00%	100.00%	100.00%	na	100.00%	na	100.00%
ENSG00000087077.14	99.08%	99.08%	99.08%	99.08%	99.08%	na	99.08%	99.08%	99.08%	99.08%	99.08%	99.08%	99.08%	99.08%	99.08%	99.08%	na	99.08%	99.08%	99.08%	99.08%	99.08%	99.08%	99.08%	na	99.08%	99.08%	99.08%	99.08%	na	99.08%	99.08%	99.08%	99.08%
ENSG00000087086.15	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000087250.9	100.00%	100.00%	100.00%	100.00%	na	na	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	100.00%	100.00%	na	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	na	100.00%
ENSG00000087510.7	na	100.00%	na	na	100.00%	na	100.00%	na	98.32%	100.00%	na	100.00%	100.00%	na	na	na	na	na	100.00%	100.00%	na	na	100.00%	100.00%	na	100.00%	na	100.00%	100.00%	na	na	na	na	100.00%
ENSG00000088320.4	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000089220.5	100.00%	99.73%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	99.73%	100.00%	100.00%	100.00%	100.00%	99.80%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	99.73%	100.00%	100.00%
ENSG00000089692.9	93.94%	93.94%	93.94%	93.94%	93.94%	na	93.94%	93.94%	na	93.94%	93.94%	93.94%	na	93.94%	na	na	na	93.94%	93.94%	na	93.94%	93.94%	na	na	93.94%	93.94%	93.94%	93.94%	93.94%	na	93.94%	na	na	93.94%
ENSG00000090104.12	na	na	na	na	na	na	na	100.00%	na	na	na	100.00%	na	na	100.00%	100.00%	na	100.00%	na	100.00%	na	100.00%	na	na	na	100.00%	na	100.00%	100.00%	na	98.72%	100.00%	na	100.00%
ENSG00000090382.7	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	na	na	100.00%	100.00%	100.00%	na	100.00%	100.00%	na	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	na	100.00%	na	100.00%
ENSG00000090932.11	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000090971.5	100.00%	na	100.00%	100.00%	na	na	na	na	100.00%	100.00%	na	100.00%	100.00%	100.00%	na	na	na	na	na	99.86%	na	100.00%	100.00%	na	na	na	100.00%	100.00%	na	100.00%	100.00%	na	na	na
ENSG00000091704.10	na	100.00%	100.00%	100.00%	na	na	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	na	na	na	na	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	100.00%
ENSG00000092010.15	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%	99.97%
ENSG00000092850.12	98.79%	98.79%	98.79%	98.79%	98.79%	na	98.79%	98.79%	98.79%	98.79%	98.79%	98.79%	98.79%	98.79%	98.79%	99.09%	na	98.79%	98.79%	98.79%	98.79%	98.79%	98.79%	98.79%	98.79%	98.79%	98.79%	98.79%	98.79%	98.79%	98.79%	98.79%	na	98.79%
ENSG00000095596.12	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	na	100.00%	100.00%	na	100.00%	na	na	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	na
ENSG00000095739.11	na	100.00%	100.00%	na	na	na	100.00%	100.00%	na	na	na	100.00%	na	na	100.00%	99.72%	100.00%	na	100.00%	99.72%	na	100.00%	na	100.00%	100.00%	na	na	100.00%	na	na	100.00%	na	100.00%	na
ENSG00000096384.20	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000099377.14	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%
ENSG00000099624.8	na	100.00%	100.00%	na	na	na	100.00%	100.00%	100.00%	100.00%	na	100.00%	na	100.00%	na	na	na	na	na	na	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	na	100.00%	100.00%	na	100.00%	100.00%	na
ENSG00000099849.15	99.72%	99.72%	99.72%	99.72%	99.72%	na	99.72%	na	na	99.72%	99.72%	99.72%	99.72%	99.72%	99.72%	99.72%	99.72%	99.72%	99.72%	99.72%	99.72%	na	99.72%	99.72%	99.72%	99.72%	99.72%	99.72%	99.72%	99.72%	na	99.72%	99.72%	99.72%
ENSG00000099860.9	100.00%	na	100.00%	na	100.00%	na	na	na	100.00%	100.00%	na	na	na	100.00%	na	na	na	100.00%	na	100.00%	100.00%	na	100.00%	100.00%	100.00%	na	100.00%	na	na	100.00%	100.00%	100.00%	100.00%	na
ENSG00000100053.10	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000100097.12	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000100116.17	99.77%	99.77%	99.77%	99.77%	99.77%	na	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%	99.77%
ENSG00000100216.6	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	97.57%	97.57%	100.00%	100.00%	100.00%	100.00%	97.43%	100.00%	97.57%	97.57%	100.00%	100.00%	100.00%	100.00%	97.57%	100.00%	97.57%	100.00%	100.00%	100.00%	97.57%	97.57%	100.00%	100.00%	100.00%
ENSG00000100253.13	97.94%	97.48%	97.94%	97.94%	97.94%	na	97.94%	97.94%	97.94%	97.94%	97.94%	97.94%	97.94%	97.94%	97.94%	97.94%	97.94%	97.94%	97.94%	97.94%	97.94%	97.48%	97.94%	97.94%	97.94%	97.94%	97.94%	97.94%	97.94%	97.94%	97.94%	97.94%	97.94%	97.94%
ENSG00000100298.16	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000100665.12	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000100836.11	87.74%	87.74%	87.74%	87.74%	na	na	87.74%	87.74%	87.74%	87.74%	na	na	87.74%	87.74%	87.74%	87.74%	na	87.92%	87.74%	87.74%	87.74%	87.74%	87.74%	na	87.74%	87.74%	87.74%	87.74%	87.74%	na	87.74%	na	na	87.74%
ENSG00000100941.9	98.20%	98.20%	98.20%	98.20%	98.20%	98.20%	98.20%	98.20%	98.05%	98.20%	98.20%	98.20%	98.20%	98.20%	98.20%	98.20%	98.20%	98.20%	98.20%	98.20%	98.20%	98.20%	98.20%	98.20%	na	na	98.20%	98.20%	na	98.20%	98.20%	98.20%	98.20%	98.20%
ENSG00000100985.7	99.72%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	99.66%	100.00%	100.00%	100.00%	100.00%	100.00%	99.75%	100.00%	100.00%	100.00%	100.00%
