Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_900
ENSG00000041880.15	98.75%	na	98.75%	98.75%	98.75%	98.75%	98.75%	98.75%	98.75%	98.75%	98.75%	98.75%	98.75%	98.75%	98.75%	98.75%	98.75%	98.75%	98.75%	98.75%	98.75%	98.75%	98.75%	98.75%	98.75%	98.75%	98.75%	na	98.75%	98.75%	98.75%	98.75%	98.75%	98.75%
ENSG00000043355.12	100.00%	na	100.00%	na	100.00%	na	100.00%	100.00%	na	na	100.00%	na	na	na	na	na	na	na	na	100.00%	na	100.00%	100.00%	na	na	na	na	100.00%	na	100.00%	na	100.00%	100.00%	100.00%
ENSG00000044012.4	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000048462.11	na	na	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	na	na	na	na	na	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%
ENSG00000048545.18	81.92%	81.78%	81.78%	81.78%	81.78%	na	81.92%	81.78%	81.82%	81.78%	81.93%	81.92%	81.78%	81.78%	81.78%	81.78%	81.78%	81.78%	81.78%	81.91%	81.78%	81.78%	81.78%	81.78%	81.78%	81.92%	81.92%	81.90%	81.92%	81.78%	81.78%	81.78%	81.92%	81.78%
ENSG00000053372.5	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000053438.11	85.80%	na	85.80%	85.80%	85.80%	na	na	85.80%	na	85.80%	85.80%	na	85.80%	85.80%	85.80%	85.80%	na	na	85.80%	na	na	na	85.80%	na	na	na	85.80%	85.80%	na	na	na	85.80%	na	na
ENSG00000053501.14	91.76%	91.76%	91.76%	91.76%	91.99%	na	91.76%	91.76%	91.76%	92.58%	91.76%	91.76%	91.76%	91.76%	91.76%	91.76%	91.76%	91.76%	91.76%	91.76%	91.76%	91.76%	90.82%	91.76%	91.76%	91.76%	91.76%	91.76%	91.76%	91.76%	91.76%	91.76%	91.76%	91.76%
ENSG00000054148.18	93.99%	93.99%	93.99%	93.99%	93.99%	93.99%	93.99%	na	93.99%	93.99%	93.99%	93.99%	na	93.99%	na	93.99%	93.99%	93.99%	93.99%	na	93.99%	93.99%	93.99%	na	93.99%	93.99%	93.99%	93.99%	na	na	93.99%	93.99%	93.99%	93.99%
ENSG00000057757.10	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000060491.17	100.00%	100.00%	93.36%	84.83%	100.00%	na	100.00%	92.54%	100.00%	100.00%	84.83%	100.00%	93.37%	100.00%	84.83%	100.00%	100.00%	84.83%	100.00%	84.83%	100.00%	100.00%	100.00%	93.35%	100.00%	100.00%	100.00%	100.00%	100.00%	84.31%	100.00%	100.00%	100.00%	100.00%
ENSG00000061492.12	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%
ENSG00000061656.11	100.00%	98.44%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000063322.15	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%	87.75%
ENSG00000065518.8	100.00%	na	100.00%	100.00%	100.00%	na	na	na	na	na	na	na	100.00%	na	100.00%	na	100.00%	na	na	100.00%	na	na	na	na	na	na	na	100.00%	100.00%	na	100.00%	na	100.00%	na
ENSG00000066379.15	87.68%	87.68%	87.68%	na	na	na	87.68%	na	87.68%	na	87.68%	87.68%	87.68%	87.68%	na	87.68%	na	87.68%	na	87.68%	87.68%	87.68%	87.68%	87.68%	87.68%	87.68%	87.68%	87.68%	87.68%	87.68%	87.68%	87.68%	87.68%	87.68%
ENSG00000068079.8	99.55%	99.55%	99.55%	na	99.55%	na	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	na	na	99.55%	na	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%
ENSG00000069482.7	na	na	na	100.00%	100.00%	na	na	100.00%	na	na	na	100.00%	na	100.00%	na	na	na	na	na	na	100.00%	100.00%	na	na	100.00%	na	100.00%	na	100.00%	100.00%	100.00%	100.00%	na	na
ENSG00000069696.7	100.00%	92.73%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	92.73%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	92.73%	100.00%	92.02%	100.00%	92.73%
ENSG00000070388.12	na	na	na	na	99.55%	na	na	99.55%	99.55%	99.55%	na	99.55%	99.55%	na	na	99.55%	na	99.55%	99.55%	99.55%	99.55%	99.55%	na	na	na	99.55%	na	na	99.55%	99.55%	99.55%	99.55%	na	99.55%
ENSG00000070404.10	100.00%	97.39%	97.40%	100.00%	97.40%	na	100.00%	na	100.00%	100.00%	100.00%	na	97.39%	100.00%	na	100.00%	na	na	100.00%	na	na	na	na	na	97.40%	100.00%	na	100.00%	97.40%	na	na	97.40%	na	100.00%
ENSG00000071859.15	na	100.00%	100.00%	na	98.37%	na	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	na	100.00%	na	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	na	97.46%	na	na	100.00%
ENSG00000073067.14	88.41%	88.41%	88.41%	88.41%	88.41%	na	88.41%	88.41%	na	88.41%	88.41%	na	na	88.41%	88.41%	88.41%	na	88.41%	88.41%	88.41%	88.41%	88.41%	88.41%	na	88.41%	88.41%	88.41%	88.41%	88.41%	88.41%	na	88.41%	na	88.41%
ENSG00000073150.14	92.03%	92.03%	92.03%	92.03%	92.03%	na	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%	92.03%
ENSG00000073598.6	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	75.18%	100.00%	100.00%	100.00%
ENSG00000077009.14	86.27%	86.27%	86.27%	86.27%	86.27%	na	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%	86.27%
ENSG00000078401.7	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000078804.13	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	99.19%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	99.19%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000080511.5	100.00%	na	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	na	100.00%	100.00%	na	100.00%
ENSG00000081721.12	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	na	99.55%	99.55%	99.55%	na	99.55%	99.55%	99.55%	99.55%	99.55%	na	99.55%	99.55%	na	99.55%	99.55%	99.55%	na	99.55%	99.55%	99.55%	99.55%	99.55%	99.55%	na
ENSG00000083812.13	49.60%	51.04%	49.60%	51.04%	51.04%	na	49.60%	na	51.04%	na	49.60%	na	49.60%	51.04%	49.60%	51.04%	49.60%	51.04%	51.04%	51.04%	49.60%	51.04%	na	na	na	49.60%	51.04%	na	51.04%	51.04%	49.60%	51.04%	49.60%	na
ENSG00000083838.17	85.79%	85.79%	85.79%	85.79%	85.79%	na	na	85.79%	85.79%	85.79%	85.79%	85.79%	85.79%	85.79%	85.79%	85.79%	85.79%	85.79%	na	85.79%	85.79%	85.79%	85.79%	85.79%	85.79%	na	82.36%	85.79%	na	85.79%	85.79%	85.79%	85.79%	na
ENSG00000083845.9	100.00%	100.00%	100.00%	na	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000084207.18	na	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	na	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	na	na
ENSG00000086159.14	91.21%	91.21%	na	91.21%	91.21%	91.21%	91.21%	91.21%	91.21%	91.21%	91.21%	91.21%	91.21%	91.21%	91.21%	91.21%	91.21%	91.21%	91.21%	91.21%	91.21%	na	na	91.21%	na	na	na	91.21%	91.21%	91.21%	na	70.25%	91.21%	70.25%
ENSG00000086506.3	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000087074.9	99.81%	99.81%	na	na	na	na	na	99.81%	99.81%	99.81%	na	99.81%	99.81%	99.81%	na	na	99.81%	99.81%	na	na	99.81%	99.81%	99.81%	na	99.81%	na	99.81%	99.81%	99.81%	99.81%	na	99.81%	na	99.81%
ENSG00000087077.14	92.46%	92.46%	92.46%	92.46%	92.46%	na	92.46%	92.46%	92.46%	92.46%	92.46%	92.46%	92.46%	92.46%	92.46%	92.46%	na	92.46%	92.46%	92.46%	92.46%	92.46%	92.46%	92.46%	na	92.46%	92.46%	92.46%	92.46%	na	92.46%	92.46%	92.46%	92.46%
ENSG00000087086.15	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000087250.9	100.00%	100.00%	100.00%	100.00%	na	na	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	100.00%	100.00%	na	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	na	100.00%
ENSG00000087510.7	na	100.00%	na	na	100.00%	na	100.00%	na	96.68%	100.00%	na	100.00%	100.00%	na	na	na	na	na	100.00%	100.00%	na	na	100.00%	100.00%	na	100.00%	na	100.00%	100.00%	na	na	na	na	100.00%
ENSG00000088320.4	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000089220.5	100.00%	89.56%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	89.82%	100.00%	100.00%	100.00%	100.00%	89.84%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	89.77%	100.00%	100.00%
ENSG00000089692.9	85.62%	85.62%	85.62%	85.62%	85.62%	na	85.62%	85.62%	na	85.62%	85.62%	85.62%	na	85.62%	na	na	na	85.62%	85.62%	na	85.62%	85.62%	na	na	85.62%	85.62%	85.62%	85.62%	85.62%	na	85.62%	na	na	85.62%
ENSG00000090104.12	na	na	na	na	na	na	na	100.00%	na	na	na	100.00%	na	na	100.00%	100.00%	na	100.00%	na	100.00%	na	100.00%	na	na	na	100.00%	na	100.00%	100.00%	na	94.77%	100.00%	na	100.00%
ENSG00000090382.7	83.40%	83.40%	87.55%	83.40%	83.40%	na	83.40%	83.40%	83.40%	83.40%	na	na	83.40%	83.40%	87.55%	na	83.40%	83.40%	na	83.40%	na	83.40%	83.40%	83.40%	83.40%	83.40%	83.40%	83.40%	na	83.40%	na	83.40%	na	83.40%
ENSG00000090932.11	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000090971.5	100.00%	na	100.00%	100.00%	na	na	na	na	100.00%	100.00%	na	100.00%	100.00%	100.00%	na	na	na	na	na	97.67%	na	100.00%	100.00%	na	na	na	100.00%	100.00%	na	100.00%	100.00%	na	na	na
ENSG00000091704.10	na	100.00%	100.00%	100.00%	na	na	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	na	na	na	na	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	100.00%
ENSG00000092010.15	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%	94.55%
ENSG00000092850.12	96.72%	96.72%	96.72%	96.72%	96.72%	na	96.72%	96.72%	96.72%	96.72%	96.72%	96.72%	96.72%	96.72%	96.72%	97.54%	na	96.72%	96.72%	96.72%	96.72%	96.72%	96.72%	96.72%	96.72%	96.72%	96.72%	96.72%	96.72%	96.72%	96.72%	96.72%	na	96.72%
ENSG00000095596.12	94.95%	94.95%	94.95%	94.95%	94.95%	na	94.29%	94.29%	na	94.95%	94.29%	94.95%	94.95%	94.29%	na	94.95%	na	94.95%	94.29%	na	94.95%	na	na	94.95%	na	94.95%	94.29%	94.95%	94.95%	94.29%	94.95%	na	na	na
ENSG00000095739.11	na	100.00%	100.00%	na	na	na	100.00%	100.00%	na	na	na	100.00%	na	na	100.00%	85.20%	100.00%	na	100.00%	85.31%	na	100.00%	na	100.00%	100.00%	na	na	100.00%	na	na	100.00%	na	100.00%	na
ENSG00000096384.20	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%	99.86%
ENSG00000099377.14	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%
ENSG00000099624.8	na	95.34%	95.34%	na	na	na	92.86%	92.86%	95.34%	95.34%	na	95.34%	na	92.86%	na	na	na	na	na	na	92.86%	95.34%	95.34%	na	95.34%	95.34%	92.86%	na	95.34%	92.86%	na	92.86%	92.86%	na
ENSG00000099849.15	99.13%	99.13%	99.13%	99.13%	99.13%	na	99.13%	na	na	99.13%	99.13%	99.13%	99.13%	99.13%	99.13%	99.13%	99.13%	99.13%	99.13%	99.13%	99.13%	na	99.13%	99.13%	99.13%	99.13%	99.13%	99.13%	99.13%	99.13%	na	99.13%	99.13%	99.13%
ENSG00000099860.9	93.55%	na	93.55%	na	93.55%	na	na	na	93.55%	93.55%	na	na	na	93.55%	na	na	na	93.55%	na	93.55%	93.55%	na	93.55%	93.55%	93.55%	na	93.55%	na	na	93.55%	93.55%	93.55%	93.55%	na
ENSG00000100053.10	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000100097.12	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000100116.17	92.31%	92.31%	92.31%	92.31%	92.31%	na	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%	92.31%
ENSG00000100216.6	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	97.75%	97.75%	100.00%	100.00%	100.00%	100.00%	95.98%	100.00%	97.75%	97.75%	100.00%	100.00%	100.00%	100.00%	97.75%	100.00%	97.75%	100.00%	100.00%	100.00%	97.75%	97.75%	100.00%	100.00%	100.00%
ENSG00000100253.13	79.81%	83.85%	79.81%	79.81%	79.81%	na	79.81%	79.81%	79.81%	79.81%	79.81%	79.81%	79.81%	79.81%	79.81%	79.81%	79.81%	79.81%	79.81%	79.81%	79.81%	83.85%	79.81%	79.81%	79.81%	79.81%	79.81%	79.81%	79.81%	79.81%	79.81%	79.81%	79.81%	79.81%
ENSG00000100298.16	100.00%	100.00%	96.94%	100.00%	96.94%	na	100.00%	na	100.00%	96.94%	100.00%	100.00%	96.94%	96.94%	100.00%	na	100.00%	na	100.00%	100.00%	100.00%	100.00%	96.94%	100.00%	96.94%	100.00%	na	96.94%	96.94%	100.00%	100.00%	96.94%	100.00%	100.00%
ENSG00000100665.12	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000100836.11	86.36%	86.36%	86.36%	86.36%	na	na	86.36%	86.36%	86.36%	86.36%	na	na	86.36%	86.36%	86.36%	86.36%	na	86.06%	86.36%	86.36%	86.36%	86.36%	86.36%	na	86.36%	86.36%	86.36%	86.36%	86.36%	na	86.36%	na	na	86.36%
ENSG00000100941.9	86.54%	86.54%	86.54%	86.54%	86.54%	86.54%	86.54%	86.54%	86.35%	86.54%	86.54%	86.54%	86.54%	86.54%	86.54%	86.54%	86.54%	86.54%	86.54%	86.54%	86.54%	86.54%	86.54%	86.54%	na	na	86.54%	86.54%	na	86.54%	86.54%	86.54%	86.54%	86.54%
ENSG00000100985.7	87.86%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	87.89%	100.00%	100.00%	100.00%	100.00%	100.00%	87.89%	100.00%	100.00%	100.00%	100.00%
