Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_900
ENSG00000043355.12	100.00%	na	100.00%	na	100.00%	na	100.00%	100.00%	na	na	100.00%	na	na	na	na	na	na	na	na	100.00%	na	100.00%	100.00%	na	na	na	na	100.00%	na	100.00%	na	100.00%	100.00%	100.00%
ENSG00000044012.4	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000048462.11	na	na	98.12%	100.00%	97.63%	na	98.12%	98.12%	100.00%	97.63%	98.12%	na	97.63%	97.63%	97.63%	100.00%	na	97.63%	97.63%	97.63%	98.12%	na	na	na	na	na	100.00%	98.12%	98.12%	98.12%	100.00%	na	100.00%	100.00%
ENSG00000048545.18	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000053372.5	95.71%	94.27%	94.12%	94.28%	95.72%	na	95.72%	95.71%	94.20%	94.28%	94.28%	94.28%	94.28%	95.72%	95.71%	95.49%	94.29%	94.27%	95.71%	100.00%	95.71%	95.72%	94.28%	95.71%	95.72%	94.04%	95.71%	94.28%	94.28%	95.71%	94.26%	94.28%	94.29%	94.05%
ENSG00000053438.11	99.82%	na	99.82%	99.82%	99.82%	na	na	99.82%	na	99.82%	99.82%	na	99.82%	99.82%	99.82%	99.82%	na	na	99.82%	na	na	na	99.82%	na	na	na	99.82%	99.82%	na	na	na	99.82%	na	na
ENSG00000053501.14	96.92%	98.30%	95.89%	99.17%	99.17%	na	99.25%	96.83%	99.17%	97.23%	96.93%	96.96%	95.88%	94.90%	96.59%	95.52%	97.11%	99.17%	99.17%	99.17%	99.17%	96.92%	94.96%	96.16%	99.17%	95.71%	97.05%	95.87%	95.92%	95.77%	95.46%	96.93%	94.84%	97.14%
ENSG00000054148.18	99.96%	99.96%	99.94%	99.95%	99.95%	99.96%	99.96%	na	99.96%	99.95%	99.94%	99.95%	na	99.94%	na	99.93%	99.94%	99.96%	99.96%	na	99.96%	99.96%	99.93%	na	99.96%	99.95%	99.95%	99.43%	na	na	99.95%	99.96%	99.95%	99.96%
ENSG00000057757.10	92.79%	87.55%	87.12%	86.93%	86.91%	na	86.91%	86.92%	92.84%	100.00%	92.79%	87.08%	87.06%	100.00%	92.88%	86.92%	92.80%	87.10%	86.92%	92.79%	92.79%	86.91%	87.12%	92.79%	92.81%	87.10%	86.91%	92.79%	86.91%	86.95%	92.78%	87.08%	87.15%	86.91%
ENSG00000060491.17	99.83%	99.87%	94.80%	93.00%	92.93%	na	93.89%	93.12%	100.00%	93.70%	92.77%	93.19%	94.62%	95.28%	100.00%	92.41%	89.57%	89.66%	94.66%	93.07%	91.96%	93.75%	93.29%	93.63%	93.05%	95.30%	94.18%	93.07%	94.38%	93.69%	99.92%	94.44%	92.26%	95.00%
ENSG00000061492.12	96.38%	96.94%	96.37%	97.94%	96.62%	na	96.68%	98.14%	95.59%	97.94%	96.25%	97.61%	96.86%	97.94%	96.54%	96.68%	na	95.96%	100.00%	97.26%	96.78%	97.94%	100.00%	na	96.75%	95.28%	95.63%	96.30%	96.62%	96.92%	96.25%	95.93%	na	95.71%
ENSG00000061656.11	96.59%	100.00%	100.00%	95.69%	96.81%	na	100.00%	98.61%	100.00%	100.00%	100.00%	98.93%	98.93%	100.00%	94.74%	95.40%	95.93%	100.00%	95.73%	96.58%	99.04%	97.59%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	99.03%	100.00%	100.00%	98.33%	99.03%
ENSG00000063322.15	99.89%	99.89%	99.89%	99.90%	99.89%	99.89%	99.89%	99.89%	99.90%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.89%	99.90%	99.89%	99.89%	99.89%	99.89%	99.86%	99.89%	99.89%	99.90%	99.89%	99.89%	99.89%	99.89%	99.89%	99.90%	99.89%	99.89%	99.89%
ENSG00000065518.8	100.00%	na	100.00%	100.00%	100.00%	na	na	na	na	na	na	na	100.00%	na	100.00%	na	100.00%	na	na	100.00%	na	na	na	na	na	na	na	100.00%	100.00%	na	100.00%	na	100.00%	na
ENSG00000066379.15	99.36%	99.36%	99.36%	na	na	na	99.36%	na	97.86%	na	99.36%	99.36%	99.36%	99.36%	na	97.88%	na	98.01%	na	97.88%	97.88%	99.30%	97.88%	99.36%	99.36%	99.36%	99.36%	99.36%	99.36%	99.30%	99.36%	98.01%	97.88%	98.11%
ENSG00000068079.8	100.00%	100.00%	100.00%	na	100.00%	na	100.00%	100.00%	98.49%	98.83%	100.00%	98.67%	100.00%	100.00%	100.00%	97.34%	na	na	98.69%	na	95.95%	100.00%	100.00%	100.00%	100.00%	100.00%	98.67%	100.00%	100.00%	98.51%	100.00%	100.00%	97.39%	98.82%
ENSG00000069482.7	na	na	na	85.89%	85.87%	na	na	85.87%	na	na	na	85.58%	na	85.89%	na	na	na	na	na	na	85.87%	85.87%	na	na	85.58%	na	85.87%	na	85.86%	85.84%	85.75%	85.86%	na	na
ENSG00000069696.7	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000070388.12	na	na	na	na	100.00%	na	na	100.00%	100.00%	100.00%	na	100.00%	100.00%	na	na	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	na	100.00%	na	na	100.00%	100.00%	100.00%	100.00%	na	100.00%
ENSG00000070404.10	98.88%	100.00%	100.00%	98.80%	98.77%	na	96.31%	na	97.43%	100.00%	98.77%	na	100.00%	98.89%	na	98.83%	na	na	97.39%	na	na	na	na	na	98.80%	98.90%	na	97.40%	98.77%	na	na	98.78%	na	98.77%
ENSG00000071859.15	na	95.84%	96.19%	na	95.81%	na	99.83%	95.81%	94.95%	95.78%	95.71%	na	93.05%	95.45%	na	95.79%	na	na	98.21%	93.29%	95.79%	95.78%	98.11%	95.88%	96.31%	94.89%	na	94.90%	95.78%	na	94.95%	na	na	92.57%
ENSG00000073067.14	98.48%	96.99%	97.57%	97.58%	96.07%	na	97.57%	97.17%	na	97.40%	96.05%	na	na	96.55%	97.16%	96.09%	na	97.56%	97.17%	97.56%	97.58%	96.77%	98.48%	na	98.48%	96.11%	97.40%	96.77%	96.00%	94.86%	na	96.55%	na	97.57%
ENSG00000073150.14	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000073598.6	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000077009.14	98.23%	98.50%	98.23%	98.67%	96.82%	na	96.94%	98.50%	98.67%	98.50%	98.72%	98.50%	98.67%	98.88%	98.50%	98.72%	98.72%	98.50%	98.72%	98.50%	98.50%	98.72%	98.72%	98.88%	98.50%	98.72%	98.50%	98.67%	98.21%	96.92%	98.48%	97.25%	98.50%	98.72%
ENSG00000078401.7	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000078804.13	99.82%	99.82%	99.82%	99.82%	99.82%	na	99.82%	99.82%	100.00%	99.82%	99.87%	99.82%	99.82%	99.82%	99.82%	99.83%	99.79%	99.83%	99.82%	99.82%	99.82%	100.00%	99.84%	99.86%	99.82%	99.82%	100.00%	99.82%	99.82%	99.83%	99.79%	99.85%	100.00%	99.85%
ENSG00000080511.5	100.00%	na	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	na	100.00%	100.00%	na	100.00%
ENSG00000081721.12	94.57%	88.88%	89.05%	93.01%	93.80%	99.63%	99.55%	99.55%	93.10%	na	93.80%	94.01%	93.64%	na	93.67%	90.08%	90.29%	99.63%	93.80%	na	88.73%	88.89%	na	93.67%	93.63%	99.55%	na	88.72%	93.67%	93.65%	93.80%	94.57%	94.69%	na
ENSG00000083812.13	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	na	100.00%	na	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	na	99.97%	99.97%	na	100.00%	100.00%	100.00%	100.00%	99.95%	na
ENSG00000083838.17	99.34%	98.79%	98.12%	96.69%	95.73%	na	na	98.69%	99.21%	97.56%	97.91%	99.21%	95.68%	98.69%	98.89%	97.80%	98.72%	96.82%	na	99.10%	98.29%	96.16%	97.32%	98.65%	99.21%	na	98.68%	98.40%	na	99.20%	94.75%	98.65%	98.68%	na
ENSG00000083845.9	99.71%	99.94%	99.84%	na	96.67%	na	96.86%	99.82%	99.95%	99.95%	99.94%	99.80%	na	92.89%	96.48%	94.07%	na	93.65%	96.80%	99.84%	97.16%	95.14%	99.94%	99.94%	99.82%	93.18%	97.31%	94.30%	93.57%	99.95%	99.94%	96.72%	94.49%	99.75%
ENSG00000084207.18	na	95.66%	98.71%	95.66%	95.66%	na	95.66%	95.86%	95.66%	91.94%	95.66%	97.62%	96.14%	95.66%	96.14%	95.66%	na	96.32%	96.14%	na	86.42%	96.14%	95.66%	na	95.86%	96.14%	98.71%	na	98.71%	95.66%	95.66%	92.05%	na	na
ENSG00000086159.14	99.86%	99.86%	na	99.88%	99.49%	99.42%	99.90%	99.90%	99.82%	99.32%	99.16%	98.35%	98.78%	99.12%	99.90%	99.86%	99.52%	99.03%	99.86%	97.63%	99.88%	na	na	99.27%	na	na	na	98.84%	99.86%	99.86%	na	98.40%	99.88%	99.27%
ENSG00000086506.3	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000087074.9	97.52%	97.52%	na	na	na	na	na	97.52%	97.75%	100.00%	na	100.00%	100.00%	97.52%	na	na	97.52%	97.52%	na	na	97.52%	97.52%	100.00%	na	96.12%	na	97.52%	97.52%	97.52%	97.52%	na	97.52%	na	97.52%
ENSG00000087077.14	98.54%	99.18%	97.59%	98.62%	98.00%	na	98.51%	99.08%	98.50%	96.34%	97.71%	99.18%	99.31%	96.47%	98.63%	99.18%	na	99.08%	99.08%	97.84%	99.08%	99.18%	98.74%	98.87%	na	99.16%	99.18%	99.18%	98.49%	na	99.08%	99.18%	96.31%	97.09%
ENSG00000087086.15	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000087250.9	95.90%	100.00%	100.00%	97.32%	na	na	97.58%	na	98.93%	96.89%	95.83%	98.00%	95.83%	97.90%	97.96%	97.74%	na	na	100.00%	96.96%	na	97.64%	100.00%	na	97.96%	100.00%	96.03%	97.61%	100.00%	97.53%	na	98.74%	na	95.84%
ENSG00000087510.7	na	98.30%	na	na	98.32%	na	98.32%	na	98.32%	98.32%	na	98.32%	98.32%	na	na	na	na	na	98.32%	98.32%	na	na	98.32%	98.31%	na	98.31%	na	98.32%	98.32%	na	na	na	na	98.32%
ENSG00000088320.4	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000089220.5	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000089692.9	90.55%	93.94%	95.10%	93.94%	93.94%	na	95.09%	93.94%	na	89.49%	93.94%	95.12%	na	89.58%	na	na	na	93.94%	93.94%	na	93.94%	90.24%	na	na	95.10%	95.09%	93.94%	89.59%	95.00%	na	95.12%	na	na	95.09%
ENSG00000090104.12	na	na	na	na	na	na	na	94.84%	na	na	na	100.00%	na	na	96.36%	100.00%	na	94.84%	na	100.00%	na	94.06%	na	na	na	100.00%	na	91.83%	94.84%	na	100.00%	95.60%	na	100.00%
ENSG00000090382.7	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	na	na	100.00%	100.00%	100.00%	na	100.00%	100.00%	na	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	na	100.00%	na	100.00%
ENSG00000090932.11	94.30%	100.00%	94.35%	100.00%	94.37%	na	94.29%	94.29%	94.33%	94.29%	92.91%	94.31%	100.00%	94.30%	na	94.33%	94.29%	92.89%	94.74%	94.29%	100.00%	na	94.31%	94.34%	100.00%	92.89%	100.00%	100.00%	94.30%	94.31%	89.31%	100.00%	94.35%	94.29%
ENSG00000090971.5	92.96%	na	96.21%	92.97%	na	na	na	na	92.98%	100.00%	na	100.00%	92.89%	90.98%	na	na	na	na	na	96.21%	na	92.89%	96.21%	na	na	na	100.00%	92.89%	na	100.00%	100.00%	na	na	na
ENSG00000091704.10	na	100.00%	92.36%	96.45%	na	na	92.30%	na	96.30%	98.12%	89.96%	98.49%	95.10%	na	99.39%	na	na	na	na	99.56%	92.78%	90.39%	96.32%	na	91.04%	100.00%	99.51%	99.52%	95.70%	95.62%	100.00%	na	na	96.83%
ENSG00000092010.15	99.97%	99.28%	99.97%	99.97%	97.98%	99.90%	99.97%	99.97%	94.74%	99.73%	95.74%	99.72%	99.78%	99.97%	99.97%	99.97%	99.97%	99.97%	99.70%	99.97%	98.79%	94.15%	98.65%	99.97%	99.97%	99.97%	99.97%	99.97%	96.84%	98.46%	98.25%	99.97%	99.80%	98.52%
ENSG00000092850.12	99.28%	99.09%	99.09%	99.09%	98.00%	na	98.79%	99.09%	99.28%	99.28%	99.28%	99.28%	99.09%	99.40%	99.28%	99.28%	na	98.62%	99.28%	99.28%	99.28%	99.28%	98.79%	99.28%	99.28%	98.85%	99.28%	98.86%	99.28%	98.87%	99.28%	99.28%	na	99.28%
ENSG00000095596.12	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	na	100.00%	100.00%	na	100.00%	na	na	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	na
ENSG00000095739.11	na	100.00%	100.00%	na	na	na	100.00%	100.00%	na	na	na	100.00%	na	na	100.00%	100.00%	100.00%	na	100.00%	100.00%	na	100.00%	na	100.00%	100.00%	na	na	100.00%	na	na	100.00%	na	100.00%	na
ENSG00000096384.20	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000099377.14	99.85%	99.51%	99.27%	99.85%	98.63%	na	97.91%	100.00%	98.37%	99.55%	99.41%	98.11%	98.82%	99.50%	100.00%	99.59%	na	99.39%	99.50%	99.20%	99.01%	99.42%	99.50%	98.13%	98.56%	100.00%	99.46%	100.00%	98.09%	100.00%	99.50%	99.85%	na	99.41%
ENSG00000099624.8	na	100.00%	100.00%	na	na	na	100.00%	100.00%	99.04%	100.00%	na	98.87%	na	98.88%	na	na	na	na	na	na	100.00%	100.00%	98.91%	na	100.00%	100.00%	100.00%	na	98.93%	100.00%	na	100.00%	100.00%	na
ENSG00000099849.15	99.73%	97.42%	98.03%	99.70%	99.64%	na	96.00%	na	na	99.72%	97.77%	96.17%	98.42%	98.41%	95.74%	97.39%	98.43%	96.87%	96.58%	97.62%	99.67%	na	97.29%	99.69%	96.10%	96.02%	98.69%	97.40%	95.35%	99.75%	na	99.77%	95.87%	97.42%
ENSG00000099860.9	100.00%	na	100.00%	na	100.00%	na	na	na	100.00%	100.00%	na	na	na	100.00%	na	na	na	100.00%	na	100.00%	100.00%	na	99.97%	100.00%	100.00%	na	100.00%	na	na	99.95%	100.00%	100.00%	100.00%	na
ENSG00000100053.10	100.00%	99.30%	99.84%	99.19%	99.25%	99.19%	100.00%	100.00%	100.00%	100.00%	99.25%	99.19%	99.43%	99.25%	100.00%	99.25%	100.00%	99.19%	100.00%	100.00%	100.00%	99.19%	100.00%	99.35%	100.00%	99.19%	100.00%	100.00%	99.25%	99.55%	100.00%	99.19%	100.00%	99.25%
ENSG00000100097.12	97.20%	100.00%	99.45%	99.45%	99.54%	na	na	99.45%	100.00%	99.45%	99.45%	100.00%	99.45%	100.00%	100.00%	100.00%	100.00%	99.45%	99.53%	99.48%	99.45%	99.50%	100.00%	99.45%	99.76%	100.00%	99.48%	99.63%	99.45%	99.95%	99.68%	99.58%	99.66%	100.00%
ENSG00000100116.17	97.97%	96.51%	94.21%	94.76%	95.41%	na	98.03%	97.35%	94.31%	98.71%	95.49%	98.68%	94.98%	94.57%	94.85%	98.51%	98.70%	98.53%	95.53%	98.16%	93.38%	94.98%	98.69%	95.49%	97.95%	98.23%	97.77%	95.60%	95.33%	97.94%	97.98%	94.98%	97.95%	91.75%
ENSG00000100216.6	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000100253.13	97.90%	96.76%	97.35%	97.04%	96.50%	na	96.66%	96.56%	96.31%	97.21%	96.91%	95.88%	97.20%	97.52%	96.08%	96.48%	96.44%	96.73%	97.55%	96.52%	96.98%	96.62%	97.79%	96.94%	97.51%	96.93%	97.04%	96.72%	96.99%	97.15%	96.62%	96.20%	97.30%	96.84%
ENSG00000100298.16	100.00%	100.00%	100.00%	100.00%	100.00%	na	98.53%	na	99.32%	99.23%	99.26%	99.23%	100.00%	99.33%	99.33%	na	99.39%	na	100.00%	100.00%	100.00%	99.33%	100.00%	99.23%	99.23%	100.00%	na	100.00%	100.00%	100.00%	100.00%	99.40%	100.00%	99.23%
ENSG00000100665.12	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000100836.11	100.00%	100.00%	100.00%	100.00%	na	na	100.00%	100.00%	94.10%	100.00%	na	na	100.00%	100.00%	100.00%	95.77%	na	100.00%	89.11%	94.09%	94.10%	98.23%	100.00%	na	98.04%	98.05%	100.00%	100.00%	98.05%	na	100.00%	na	na	100.00%
ENSG00000100941.9	91.98%	92.44%	86.49%	82.89%	84.47%	92.57%	84.67%	92.23%	96.40%	87.64%	87.64%	86.43%	86.49%	91.50%	90.51%	86.82%	77.22%	92.56%	73.59%	86.82%	92.46%	92.90%	73.60%	88.70%	na	na	92.31%	87.99%	na	82.94%	91.89%	92.32%	86.49%	93.37%
ENSG00000100985.7	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
